0,6754;
1,6900;
2,6902;
3,6760;
4,6903;
5,6762;
6,6763;
7,6764;
8,6818;
9,-1;
10,-1;
11,-1;
12,6912;
13,6913;
14,6914;
15,6915;
16,6916;
17,6917;
18,6918;
19,6795;
20,6796;
21,6921;
22,6922;
23,6923;
24,6924;
25,6925;
26,6926;
27,6927;
28,6781;
29,6781;
30,6781;
31,6845;
32,6845;
33,6845;
34,6845;
35,6845;
36,6845;
37,6845;
38,6845;
39,6845;
40,6845;
41,-1;
42,-1;
43,-1;
44,-1;
45,-1;
46,-1;
47,6784;
48,6785;
49,6786;
50,0,NOT_A_WEAPON;
51,0,NOT_A_WEAPON;
52,0,NOT_A_WEAPON;
53,0,NOT_A_WEAPON;
54,0,NOT_A_WEAPON;
55,0,NOT_A_WEAPON;
56,0,NOT_A_WEAPON;
57,0,NOT_A_WEAPON;
58,0,NOT_A_WEAPON;
59,0,NOT_A_WEAPON;
60,0,NOT_A_WEAPON;
61,0,NOT_A_WEAPON;
62,0,NOT_A_WEAPON;
63,0,NOT_A_WEAPON;
64,0,NOT_A_WEAPON;
65,0,NOT_A_WEAPON;
66,0,NOT_A_WEAPON;
67,0,NOT_A_WEAPON;
68,0,NOT_A_WEAPON;
69,0,NOT_A_WEAPON;
70,0,NOT_A_WEAPON;
71,0,NOT_A_WEAPON;
72,0,NOT_A_WEAPON;
73,0,NOT_A_WEAPON;
74,0,NOT_A_WEAPON;
75,0,NOT_A_WEAPON;
76,0,NOT_A_WEAPON;
77,0,NOT_A_WEAPON;
78,0,NOT_A_WEAPON;
79,0,NOT_A_WEAPON;
80,0,NOT_A_WEAPON;
81,0,NOT_A_WEAPON;
82,0,NOT_A_WEAPON;
83,0,NOT_A_WEAPON;
84,0,NOT_A_WEAPON;
85,0,NOT_A_WEAPON;
86,0,NOT_A_WEAPON;
87,0,NOT_A_WEAPON;
88,0,NOT_A_WEAPON;
89,0,NOT_A_WEAPON;
90,0,NOT_A_WEAPON;
91,0,NOT_A_WEAPON;
92,0,NOT_A_WEAPON;
93,0,NOT_A_WEAPON;
94,0,NOT_A_WEAPON;
95,0,NOT_A_WEAPON;
96,0,NOT_A_WEAPON;
97,0,NOT_A_WEAPON;
98,0,NOT_A_WEAPON;
99,0,NOT_A_WEAPON;
100,0,NOT_A_WEAPON;
101,0,NOT_A_WEAPON;
102,0,NOT_A_WEAPON;
103,0,NOT_A_WEAPON;
104,0,NOT_A_WEAPON;
105,0,NOT_A_WEAPON;
106,0,NOT_A_WEAPON;
107,0,NOT_A_WEAPON;
108,0,NOT_A_WEAPON;
109,0,NOT_A_WEAPON;
110,0,NOT_A_WEAPON;
111,0,NOT_A_WEAPON;
112,0,NOT_A_WEAPON;
113,0,NOT_A_WEAPON;
114,0,NOT_A_WEAPON;
115,0,NOT_A_WEAPON;
116,0,NOT_A_WEAPON;
117,0,NOT_A_WEAPON;
118,0,NOT_A_WEAPON;
119,0,NOT_A_WEAPON;
120,0,NOT_A_WEAPON;
121,0,NOT_A_WEAPON;
122,0,NOT_A_WEAPON;
123,0,NOT_A_WEAPON;
124,0,NOT_A_WEAPON;
125,0,NOT_A_WEAPON;
126,0,NOT_A_WEAPON;
127,0,NOT_A_WEAPON;
128,0,NOT_A_WEAPON;
129,0,NOT_A_WEAPON;
130,0,NOT_A_WEAPON;
131,0,NOT_A_WEAPON;
132,0,NOT_A_WEAPON;
133,0,NOT_A_WEAPON;
134,0,NOT_A_WEAPON;
135,0,NOT_A_WEAPON;
136,0,NOT_A_WEAPON;
137,0,NOT_A_WEAPON;
138,0,NOT_A_WEAPON;
139,0,NOT_A_WEAPON;
140,0,NOT_A_WEAPON;
141,0,NOT_A_WEAPON;
142,0,NOT_A_WEAPON;
143,0,NOT_A_WEAPON;
144,0,NOT_A_WEAPON;
145,0,NOT_A_WEAPON;
146,0,NOT_A_WEAPON;
147,0,NOT_A_WEAPON;
148,0,NOT_A_WEAPON;
149,0,NOT_A_WEAPON;
150,0,NOT_A_WEAPON;
151,0,NOT_A_WEAPON;
152,0,NOT_A_WEAPON;
153,0,NOT_A_WEAPON;
154,0,NOT_A_WEAPON;
155,0,NOT_A_WEAPON;
156,0,NOT_A_WEAPON;
157,0,NOT_A_WEAPON;
158,0,NOT_A_WEAPON;
159,0,NOT_A_WEAPON;
160,0,NOT_A_WEAPON;
161,0,NOT_A_WEAPON;
162,0,NOT_A_WEAPON;
163,0,NOT_A_WEAPON;
164,0,NOT_A_WEAPON;
165,0,NOT_A_WEAPON;
166,0,NOT_A_WEAPON;
167,0,NOT_A_WEAPON;
168,0,NOT_A_WEAPON;
169,0,NOT_A_WEAPON;
170,0,NOT_A_WEAPON;
171,0,NOT_A_WEAPON;
172,0,NOT_A_WEAPON;
173,0,NOT_A_WEAPON;
174,0,NOT_A_WEAPON;
175,0,NOT_A_WEAPON;
176,6824;
177,6825;
178,6826;
179,0,NOT_A_WEAPON;
180,0,NOT_A_WEAPON;
181,0,NOT_A_WEAPON;
182,0,NOT_A_WEAPON;
183,6834;
184,0,NOT_A_WEAPON;
