Betty,0,100,30,8500,1,1,0,4,115;
Teneta,1,195,65,157900,2,4,1,8,110;
Hiro,2,150,45,82400,2,2,0,4,165;
Badger,3,125,70,89200,2,1,0,6,110;
Dace,4,150,35,450700,4,3,0,5,140;
Inflict,5,150,45,35500,2,2,0,4,125;
Hector,6,110,40,102500,2,1,0,5,135;
Anaan,7,250,300,300000,2,2,1,7,80;
VoidX,8,3000,50,20000000,4,4,0,25,250;
H'Soc,9,250,50,240000,2,2,0,7,170;
Phantom,10,350,75,5500000,2,4,0,10,170;
Hernstein,11,210,180,360000,2,2,1,8,75;
Type 43,12,175,30,120000,2,2,0,7,130;
K'sarr,13,5000,1500,75000000,0,0,1,3,25;
Terran Cruiser,14,7500,650,150000000,10,4,1,5,20;
Terran Freighter,15,3000,750,75000000,0,0,1,4,25;
Kinzer,16,180,45,2000000,2,4,0,10,130;
Ward,17,150,60,1500000,4,2,0,10,100;
Hatsuyuki,18,115,30,190000,2,2,0,8,143;
Nuyang II,19,225,105,1200000,4,2,0,9,90;
Cicero,20,120,25,50000,2,2,0,6,130;
Aegir,21,190,70,3200000,4,4,0,11,145;
Groza,22,160,130,500000,3,3,0,8,125;
Azov,23,145,55,65000,2,3,1,6,113;
Velasco,24,142,75,800000,3,3,1,8,125;
Tyrion,25,170,55,600000,1,2,0,8,135;
Hera,26,152,64,180000,2,2,0,7,108;
Taipan,27,161,50,178000,3,2,0,6,113;
Veteran,28,250,150,7000000,3,4,1,15,110;
Mantis,29,350,130,9500000,4,4,0,15,130;
Berger CrossXT,30,156,53,150000,2,2,0,7,118;
Salvehn,31,165,110,256000,2,2,1,6,95;
Wasp,32,105,35,95000,2,2,0,6,165;
Furious,33,175,100,79000,1,2,1,7,150;
Razor 6,34,135,60,650000,4,2,0,5,130;
Night Owl,35,125,40,26500,1,2,0,4,200;
Cormorant,36,200,350,168900,0,4,1,8,45;
Cronus,37,190,95,4500000,2,2,0,7,120;
Typhon,38,175,40,1666667,4,0,0,12,145;
S'Kanarr,39,315,150,7250000,4,2,1,11,70;
Nemesis,40,235,105,3400000,4,1,0,14,95;
K'Suukk,41,255,55,1300000,3,2,0,12,125;
Vol Noor,42,165,75,84000,2,2,0,7,110;
Wraith,43,180,65,1166667,4,2,0,9,140;
Specter,44,800,65,12000000,4,2,0,16,138;
Bloodstar,45,460,180,5400000,4,4,1,14,88;
Blue Fyre,46,270,125,2571429,3,3,0,13,116;
Gator Custom,47,335,320,2971429,4,2,0,12,95;
Amboss,48,305,80,3400000,4,4,0,14,110;
Scimitar,49,400,40,3314286,3,2,0,15,105;
Rhino,50,1200,480,466667,0,2,1,9,30;
Gryphon,51,220,90,1400000,4,2,0,10,130;
Na'srrk,52,280,70,3085714,4,4,0,12,145;
Groza Mk II,53,450,90,3565000,5,1,0,11,122;
Berger Cross Special,54,410,55,3705000,4,4,0,14,130;
Kinzer RS,55,420,65,4465000,4,4,0,15,125;
Phantom XT,56,425,60,3715000,4,1,0,14,150;
Teneta R.E.D.,57,545,70,3805000,4,2,1,13,118;
Darkzov,58,420,70,3618000,4,1,1,14,130;
Ghost,59,530,50,3333333,4,2,0,14,135;
Dark Angel,60,350,85,3650000,4,2,1,14,125;
N'Tirrk,61,280,80,200000,2,4,0,8,128;
Hawk,62,180,45,29300,2,1,0,4,105;
Icarus,63,135,10,25600,2,0,0,3,200;
Draaken,64,330,60,320000,1,4,0,7,75;
